what,kind,bundleId,bundleVersion,description,time
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1340716188918
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1340716188918
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1340716188918
java.vm.specification.version,sysinfo,,,"1.0",1340716188918
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1340716188918
java.vm.version,sysinfo,,,"20.8-b03",1340716188918
started,bundle,org.eclipse.php.debug.ui,2.2.0.v20101001-2300,"org.eclipse.php.debug.ui",1340716189607
started,bundle,org.eclipse.php.debug.core,2.2.0.v20101001-2300,"org.eclipse.php.debug.core",1340716189752
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1340716189864
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1340716189897
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1340716190044
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.1.v20100909-1720,"org.eclipse.dltk.core.index.sql.h2",1340716190631
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340716198635
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340716225157
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.import",1340716225172
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1340716227019
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1340716227089
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1340716227094
started,bundle,org.eclipse.dltk.validators.ui,2.0.0.v20091214-1712,"org.eclipse.dltk.validators.ui",1340716227152
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1340716234299
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1340716234439
